REL,RF,NPC,PFC,WCC,,,,,,REL,RF,NPC,PFC,WCC
0.952952953,0.259984985,165018890,0.099212821,0,,,,,,,,,,
0.950950951,0.069644645,211743794.4,0.084413992,0.000954203,,,,,,,,,,
0.83983984,0.285635636,0,0.062031092,0.009056758,,,,,,,,,,
0.955955956,0.098548549,185940465.8,0.091128647,0,,,,,,,,,,
0.943943944,0.354029029,129033879.9,0.09160302,0,,,,,,,,,,
0.897897898,0.049624625,198592342.6,0.008599699,0.021205189,,,,,,,,,,
0.952952953,0.28475976,174928567.6,0.084870555,0.007464198,,,,,,,,,,
0.947947948,0.049249249,269353185.6,0.028235909,0.009979696,,,,,,,,,,
0.957957958,0.347072072,178359542.6,0.098400287,0,,,,,,,,,,
0.942942943,0.051451451,167199028.9,0.089678657,0,,,,,,,,,,
0.968968969,0.621021021,231495570.3,0.090517174,0.012991154,,,,,,,,,,
0.930930931,0.049474474,238266143.6,0.014899389,0.019720269,,,,,,,,,,
0.938938939,0.051526527,158865437.4,0.089915084,0,,,,,,,,,,
0.952952953,0.212262262,163318486.6,0.077637773,0.014793044,,,,,,,,,,
0.838838839,0.059684685,0,0.062079938,0.016209725,,,,,,,,,,
0.962962963,0.289514515,286705724.7,0.039444962,0.00329599,,,,,,,,,,
0.968968969,0.048698699,306467813.6,0.083385265,0.010987818,,,,,,,,,,
0.970970971,0.877452452,294954107.6,0.021571945,0.025458626,,,,,,,,,,
